id,eom,w
10010,1990-11-30,-0.3333333333333333
10010,1990-12-31,-0.3333333333333333
10010,1991-01-31,0.0
10010,1991-02-28,-0.3333333333333333
10010,1991-03-31,-0.3333333333333333
10010,1991-04-30,-0.6666666666666666
10010,1991-05-31,0.0
10010,1991-06-30,-0.3333333333333333
10010,1991-07-31,0.3333333333333333
10010,1991-08-31,0.3333333333333333
10010,1991-09-30,-0.3333333333333333
10010,1991-11-30,-0.3333333333333333
10010,1991-12-31,0.0
10010,1992-01-31,0.0
10012,2000-03-31,-0.3333333333333333
10012,2000-06-30,-0.6666666666666666
10012,2000-07-31,-0.6666666666666666
10016,1989-12-31,-0.3333333333333333
10016,1990-01-31,0.0
10016,1990-02-28,0.6666666666666666
10016,1990-03-31,0.3333333333333333
10016,1990-04-30,-0.3333333333333333
10016,1990-05-31,-0.3333333333333333
10016,1990-06-30,0.3333333333333333
10016,1990-07-31,0.3333333333333333
10016,1990-08-31,0.3333333333333333
10016,1990-09-30,-0.3333333333333333
10016,1990-10-31,-0.6666666666666666
10016,1990-11-30,0.3333333333333333
10016,1990-12-31,-0.6666666666666666
10016,1991-01-31,-0.3333333333333333
10016,1991-02-28,0.3333333333333333
10016,1991-03-31,0.6666666666666666
10016,1991-04-30,0.0
10016,1991-05-31,-0.6666666666666666
10016,1991-06-30,0.3333333333333333
10016,1991-07-31,-0.6666666666666666
10016,1991-08-31,-0.3333333333333333
10016,1991-09-30,0.0
10016,1991-10-31,-0.6666666666666666
10016,1991-11-30,0.3333333333333333
10016,1991-12-31,0.6666666666666666
10016,1992-01-31,0.3333333333333333
10016,1992-02-29,-0.3333333333333333
10016,1992-03-31,0.3333333333333333
10016,1992-04-30,0.6666666666666666
10016,1992-05-31,0.3333333333333333
10016,1992-06-30,0.3333333333333333
10016,1992-07-31,0.0
10016,1992-08-31,0.3333333333333333
10016,1992-09-30,0.0
10016,1992-10-31,-0.6666666666666666
10016,1992-11-30,0.3333333333333333
10016,1992-12-31,-0.3333333333333333
10016,1993-01-31,0.6666666666666666
10016,1993-02-28,0.3333333333333333
10016,1993-03-31,0.6666666666666666
10016,1993-04-30,0.0
10016,1993-05-31,-0.3333333333333333
10016,1993-06-30,0.0
10016,1993-07-31,0.3333333333333333
10016,1993-08-31,-0.3333333333333333
10016,1993-09-30,0.6666666666666666
10016,1993-10-31,0.3333333333333333
10016,1993-11-30,0.3333333333333333
10016,1993-12-31,0.3333333333333333
10016,1994-01-31,-0.3333333333333333
10016,1995-08-31,0.6666666666666666
10016,1995-09-30,0.6666666666666666
10016,1995-10-31,0.6666666666666666
10016,1996-06-30,0.6666666666666666
10016,1998-11-30,0.6666666666666666
10016,1998-12-31,0.3333333333333333
10016,1999-01-31,0.3333333333333333
10016,1999-02-28,0.0
10016,1999-03-31,0.6666666666666666
10016,1999-04-30,0.3333333333333333
10016,1999-05-31,0.6666666666666666
10016,1999-06-30,0.6666666666666666
10016,1999-07-31,0.6666666666666666
10016,1999-08-31,0.6666666666666666
10016,1999-09-30,0.3333333333333333
10016,1999-10-31,0.6666666666666666
10016,1999-11-30,0.0
10016,1999-12-31,0.0
10016,2000-01-31,0.0
10016,2000-02-29,0.0
10016,2000-03-31,-0.6666666666666666
10016,2000-04-30,0.6666666666666666
10016,2000-05-31,0.6666666666666666
10016,2000-06-30,0.6666666666666666
10016,2000-07-31,-0.3333333333333333
10016,2000-08-31,-0.3333333333333333
10016,2000-09-30,0.0
10016,2000-10-31,0.0
10016,2000-11-30,0.0
10016,2000-12-31,0.3333333333333333
10016,2001-01-31,0.3333333333333333
10016,2001-02-28,0.6666666666666666
10016,2001-03-31,0.3333333333333333
10016,2001-04-30,0.3333333333333333
10020,1989-12-31,0.3333333333333333
10020,1990-01-31,0.6666666666666666
10020,1990-02-28,0.3333333333333333
10020,1990-03-31,0.6666666666666666
10020,1990-04-30,0.0
10020,1990-05-31,0.0
10020,1990-06-30,0.0
10020,1990-07-31,-0.3333333333333333
10020,1990-08-31,0.0
10020,1990-09-30,0.0
10020,1990-10-31,0.3333333333333333
10020,1990-11-30,0.0
10020,1990-12-31,0.3333333333333333
10020,1991-01-31,0.3333333333333333
10020,1991-02-28,0.0
10020,1991-03-31,0.3333333333333333
10020,1991-04-30,-0.3333333333333333
10020,1991-05-31,-0.3333333333333333
10020,1991-06-30,0.0
10020,1991-07-31,0.0
10020,1991-08-31,0.0
10020,1991-09-30,0.3333333333333333
10020,1991-10-31,0.0
10020,1991-11-30,0.0
10020,1991-12-31,0.3333333333333333
10020,1992-01-31,0.6666666666666666
10020,1992-02-29,0.3333333333333333
10020,1992-03-31,0.6666666666666666
10020,1992-04-30,0.3333333333333333
10020,1992-05-31,0.0
10020,1992-06-30,0.6666666666666666
10020,1992-07-31,0.3333333333333333
10020,1992-08-31,0.6666666666666666
10020,1992-09-30,-0.3333333333333333
10020,1992-10-31,0.0
10020,1992-11-30,0.6666666666666666
10020,1992-12-31,0.0
10020,1993-01-31,-0.6666666666666666
10020,1993-02-28,-0.3333333333333333
10020,1993-03-31,0.0
10025,1995-03-31,0.0
10025,1995-04-30,-0.3333333333333333
10025,1995-05-31,-0.6666666666666666
10025,1995-08-31,0.3333333333333333
10025,1996-06-30,0.3333333333333333
10025,1996-07-31,0.3333333333333333
10025,1996-08-31,0.0
10025,1996-09-30,0.6666666666666666
10025,1996-10-31,0.6666666666666666
10025,1996-11-30,0.6666666666666666
10025,1996-12-31,0.6666666666666666
10025,1997-01-31,0.3333333333333333
10025,1997-02-28,0.6666666666666666
10025,1997-03-31,0.6666666666666666
10025,1997-04-30,0.6666666666666666
10025,1997-05-31,-0.3333333333333333
10025,1997-06-30,-0.6666666666666666
10025,1997-09-30,-0.6666666666666666
10025,1999-03-31,-0.3333333333333333
10025,1999-04-30,0.0
10025,1999-05-31,0.3333333333333333
10025,1999-06-30,0.3333333333333333
10025,1999-07-31,0.0
10025,1999-08-31,0.3333333333333333
10025,1999-09-30,0.0
10025,1999-10-31,0.0
10025,1999-11-30,0.6666666666666666
10025,1999-12-31,0.6666666666666666
10025,2000-01-31,0.6666666666666666
10025,2000-02-29,0.3333333333333333
10025,2000-03-31,0.6666666666666666
10025,2000-07-31,0.0
10025,2000-08-31,0.6666666666666666
10025,2000-09-30,0.6666666666666666
10025,2000-10-31,0.6666666666666666
10025,2000-11-30,0.6666666666666666
10025,2000-12-31,0.6666666666666666
10025,2001-01-31,0.0
10025,2001-02-28,0.3333333333333333
10025,2001-03-31,0.6666666666666666
10025,2001-04-30,0.6666666666666666
10025,2001-05-31,0.6666666666666666
10025,2001-06-30,0.3333333333333333
10025,2002-07-31,0.3333333333333333
10025,2002-08-31,0.6666666666666666
10026,1990-11-30,-0.6666666666666666
10026,1991-02-28,-0.6666666666666666
10026,1991-03-31,-0.6666666666666666
10026,1991-04-30,0.3333333333333333
10026,1991-05-31,0.3333333333333333
10026,1991-06-30,0.6666666666666666
10026,1991-07-31,-0.3333333333333333
10026,1991-08-31,-0.6666666666666666
10026,1991-09-30,-0.6666666666666666
10026,1991-10-31,-0.3333333333333333
10026,1991-11-30,-0.6666666666666666
10026,1991-12-31,-0.3333333333333333
10026,1992-01-31,-0.6666666666666666
10026,1992-04-30,-0.3333333333333333
10026,1992-05-31,-0.3333333333333333
10026,1993-04-30,0.6666666666666666
10026,1993-05-31,0.6666666666666666
10026,1993-06-30,-0.3333333333333333
10026,1993-07-31,0.6666666666666666
10026,1993-08-31,0.6666666666666666
10026,1993-09-30,0.0
10026,1993-10-31,0.6666666666666666
10026,1993-11-30,0.6666666666666666
10026,1993-12-31,0.6666666666666666
10026,1994-01-31,0.6666666666666666
10026,1994-02-28,0.0
10026,1994-03-31,0.0
10026,1994-04-30,-0.3333333333333333
10026,1998-10-31,-0.3333333333333333
10026,1998-12-31,-0.6666666666666666
10026,1999-01-31,-0.6666666666666666
10026,1999-02-28,-0.6666666666666666
10026,1999-03-31,-0.6666666666666666
10026,1999-06-30,-0.6666666666666666
10026,1999-07-31,-0.6666666666666666
10026,1999-12-31,-0.6666666666666666
10026,2002-01-31,0.6666666666666666
10026,2002-02-28,0.6666666666666666
10026,2002-03-31,0.6666666666666666
10026,2002-04-30,0.6666666666666666
10026,2002-06-30,0.6666666666666666
10026,2002-07-31,0.6666666666666666
10026,2002-08-31,-0.3333333333333333
10026,2002-09-30,0.0
10026,2002-10-31,0.3333333333333333
10026,2002-11-30,0.3333333333333333
10026,2002-12-31,0.3333333333333333
10026,2003-02-28,0.3333333333333333
10026,2003-03-31,0.6666666666666666
10026,2006-12-31,0.3333333333333333
10026,2007-01-31,-0.3333333333333333
10026,2007-02-28,0.0
10026,2007-03-31,0.6666666666666666
10026,2007-08-31,-0.3333333333333333
10026,2007-10-31,-0.3333333333333333
10026,2007-11-30,-0.6666666666666666
10026,2007-12-31,0.0
10026,2008-03-31,0.0
10026,2008-04-30,-0.3333333333333333
10026,2008-05-31,-0.3333333333333333
10026,2008-06-30,0.0
10026,2008-07-31,0.3333333333333333
10026,2008-08-31,0.6666666666666666
10026,2008-09-30,0.3333333333333333
10026,2008-10-31,0.3333333333333333
10026,2008-11-30,0.6666666666666666
10026,2008-12-31,0.3333333333333333
10026,2009-01-31,0.3333333333333333
10026,2009-02-28,0.0
10026,2009-03-31,0.0
10026,2009-04-30,0.0
10026,2009-05-31,0.0
10026,2009-06-30,0.0
10026,2009-07-31,0.0
10026,2009-08-31,0.0
10026,2009-09-30,-0.6666666666666666
10026,2009-10-31,0.3333333333333333
10026,2009-11-30,0.0
10026,2009-12-31,-0.3333333333333333
10026,2010-01-31,0.6666666666666666
10026,2010-02-28,0.3333333333333333
10026,2010-03-31,0.6666666666666666
10026,2010-04-30,0.3333333333333333
10026,2010-05-31,-0.3333333333333333
10026,2010-06-30,0.3333333333333333
10026,2010-07-31,0.0
10026,2010-08-31,0.0
10026,2010-09-30,0.0
10026,2010-10-31,0.0
10026,2010-11-30,-0.3333333333333333
10026,2010-12-31,0.0
10026,2011-01-31,0.3333333333333333
10026,2011-02-28,0.3333333333333333
10026,2011-03-31,-0.3333333333333333
10026,2011-04-30,0.6666666666666666
10026,2011-05-31,0.6666666666666666
10026,2011-06-30,0.3333333333333333
10026,2011-07-31,0.6666666666666666
10026,2011-08-31,0.6666666666666666
10026,2011-09-30,0.0
10026,2011-10-31,0.3333333333333333
10026,2011-11-30,0.0
10026,2011-12-31,0.3333333333333333
10026,2012-01-31,-0.6666666666666666
10026,2012-02-29,0.0
10026,2012-03-31,-0.3333333333333333
10026,2012-04-30,0.0
10026,2012-05-31,0.3333333333333333
10026,2012-06-30,0.6666666666666666
10026,2012-07-31,0.6666666666666666
10026,2012-08-31,0.0
10026,2012-09-30,-0.3333333333333333
10026,2012-10-31,0.0
10026,2012-11-30,0.3333333333333333
10026,2012-12-31,0.6666666666666666
10026,2013-01-31,0.3333333333333333
10026,2013-02-28,0.3333333333333333
10026,2013-03-31,0.6666666666666666
10026,2013-04-30,0.3333333333333333
10026,2013-05-31,0.6666666666666666
10026,2013-06-30,0.6666666666666666
10026,2013-07-31,-0.6666666666666666
10026,2013-08-31,0.3333333333333333
10026,2013-09-30,0.3333333333333333
10026,2013-10-31,0.0
10026,2013-11-30,0.0
10026,2013-12-31,0.6666666666666666
10026,2014-01-31,0.0
10026,2014-02-28,-0.3333333333333333
10026,2014-03-31,-0.3333333333333333
10026,2014-04-30,0.3333333333333333
10026,2014-05-31,0.6666666666666666
10026,2014-06-30,0.6666666666666666
10026,2014-07-31,0.3333333333333333
10026,2014-08-31,0.3333333333333333
10026,2014-09-30,0.6666666666666666
10026,2014-10-31,0.6666666666666666
10026,2014-11-30,0.6666666666666666
10026,2014-12-31,0.0
10026,2015-01-31,0.3333333333333333
10026,2015-02-28,0.0
10026,2015-03-31,0.3333333333333333
10026,2015-04-30,0.3333333333333333
10026,2015-05-31,0.6666666666666666
10026,2015-06-30,0.6666666666666666
10026,2015-07-31,0.0
10026,2015-08-31,0.3333333333333333
10026,2015-09-30,0.6666666666666666
10026,2015-10-31,-0.3333333333333333
10026,2015-11-30,-0.6666666666666666
10026,2015-12-31,-0.3333333333333333
10026,2016-01-31,0.3333333333333333
10026,2016-02-29,-0.6666666666666666
10026,2016-03-31,-0.3333333333333333
10026,2016-04-30,-0.6666666666666666
10026,2016-05-31,0.0
10026,2016-06-30,0.0
10026,2016-07-31,0.3333333333333333
10026,2016-08-31,-0.3333333333333333
10026,2016-09-30,-0.3333333333333333
10026,2016-10-31,0.3333333333333333
10026,2016-11-30,-0.6666666666666666
10026,2016-12-31,-0.6666666666666666
10026,2017-01-31,0.3333333333333333
10026,2017-02-28,0.0
10026,2017-03-31,0.3333333333333333
10026,2017-04-30,0.6666666666666666
10026,2017-05-31,0.6666666666666666
10026,2017-06-30,0.6666666666666666
10026,2017-07-31,-0.3333333333333333
10026,2017-08-31,0.0
10026,2017-09-30,0.6666666666666666
10026,2017-10-31,0.6666666666666666
10026,2017-11-30,0.6666666666666666
10026,2017-12-31,0.6666666666666666
10026,2018-01-31,0.0
10026,2018-02-28,-0.3333333333333333
10026,2018-03-31,0.3333333333333333
10026,2018-04-30,0.6666666666666666
10026,2018-05-31,0.6666666666666666
10026,2018-06-30,0.6666666666666666
10026,2018-07-31,0.6666666666666666
10026,2018-08-31,0.6666666666666666
10026,2018-09-30,0.6666666666666666
10026,2018-10-31,0.0
10026,2018-11-30,0.0
10026,2018-12-31,0.6666666666666666
10026,2019-01-31,0.6666666666666666
10026,2019-02-28,0.6666666666666666
10026,2019-03-31,0.6666666666666666
10026,2019-04-30,0.3333333333333333
10026,2019-05-31,0.6666666666666666
10026,2019-06-30,0.3333333333333333
10026,2019-07-31,-0.3333333333333333
10026,2019-08-31,0.6666666666666666
10026,2019-09-30,-0.3333333333333333
10026,2019-10-31,-0.3333333333333333
10026,2019-11-30,-0.6666666666666666
10026,2019-12-31,0.0
10026,2020-01-31,0.6666666666666666
10026,2020-02-29,0.0
10026,2020-03-31,0.3333333333333333
10026,2020-04-30,0.6666666666666666
10026,2020-05-31,0.3333333333333333
10026,2020-06-30,0.0
10026,2020-07-31,0.3333333333333333
10026,2020-08-31,0.6666666666666666
10026,2020-09-30,0.3333333333333333
10026,2020-10-31,0.3333333333333333
10026,2020-11-30,0.6666666666666666
10026,2020-12-31,0.6666666666666666
10026,2021-01-31,0.6666666666666666
10026,2021-02-28,0.0
10026,2021-03-31,0.3333333333333333
10026,2021-04-30,0.0
10026,2021-05-31,-0.3333333333333333
10026,2021-06-30,0.6666666666666666
10026,2021-07-31,0.0
10026,2021-08-31,0.0
10026,2021-09-30,0.3333333333333333
10026,2021-10-31,0.6666666666666666
10026,2021-11-30,0.3333333333333333
10026,2021-12-31,0.3333333333333333
10026,2022-01-31,0.3333333333333333
10026,2022-02-28,0.3333333333333333
10026,2022-03-31,0.0
10026,2022-04-30,0.3333333333333333
10026,2022-05-31,-0.3333333333333333
10026,2022-06-30,0.3333333333333333
10026,2022-07-31,0.0
10026,2022-08-31,-0.3333333333333333
10026,2022-09-30,-0.3333333333333333
10026,2022-10-31,0.3333333333333333
10026,2022-11-30,0.3333333333333333
10026,2022-12-31,0.3333333333333333
10026,2023-01-31,0.6666666666666666
10026,2023-02-28,0.0
10026,2023-03-31,0.6666666666666666
10026,2023-04-30,0.6666666666666666
10026,2023-05-31,0.6666666666666666
10026,2023-06-30,0.6666666666666666
10026,2023-07-31,0.3333333333333333
10026,2023-08-31,0.0
10026,2023-09-30,0.6666666666666666
10026,2023-10-31,0.3333333333333333
10026,2023-11-30,0.0
10032,1992-05-31,0.6666666666666666
10032,1992-06-30,0.0
10032,1992-07-31,0.6666666666666666
10032,1992-08-31,0.0
10032,1992-09-30,0.6666666666666666
10032,1997-03-31,0.3333333333333333
10032,1997-05-31,0.3333333333333333
10032,1997-06-30,0.6666666666666666
10032,1997-07-31,-0.6666666666666666
10032,1997-08-31,-0.3333333333333333
10032,1997-09-30,0.0
10032,1997-10-31,-0.6666666666666666
10032,1997-11-30,-0.3333333333333333
10032,1998-02-28,-0.6666666666666666
10032,1998-03-31,-0.6666666666666666
10032,1998-04-30,-0.6666666666666666
10032,1998-05-31,-0.6666666666666666
10032,1998-06-30,-0.6666666666666666
10032,1998-07-31,-0.6666666666666666
10032,1998-08-31,-0.6666666666666666
10032,1998-09-30,-0.6666666666666666
10032,1998-10-31,0.3333333333333333
10032,1998-11-30,0.0
10032,1998-12-31,0.6666666666666666
10032,1999-01-31,0.6666666666666666
10032,1999-02-28,0.3333333333333333
10032,1999-03-31,0.0
10032,1999-04-30,-0.6666666666666666
10032,1999-05-31,-0.6666666666666666
10032,1999-06-30,-0.3333333333333333
10032,1999-07-31,-0.3333333333333333
10032,1999-08-31,-0.6666666666666666
10032,1999-09-30,-0.6666666666666666
10032,1999-10-31,-0.3333333333333333
10032,1999-11-30,-0.3333333333333333
10032,1999-12-31,0.3333333333333333
10032,2000-01-31,-0.3333333333333333
10032,2000-02-29,-0.3333333333333333
10032,2000-03-31,0.0
10032,2000-04-30,-0.3333333333333333
10032,2000-05-31,0.3333333333333333
10032,2000-06-30,0.3333333333333333
10032,2000-07-31,0.6666666666666666
10032,2000-08-31,0.3333333333333333
10032,2000-09-30,-0.3333333333333333
10032,2000-10-31,-0.3333333333333333
10032,2000-11-30,-0.3333333333333333
10032,2000-12-31,0.0
10032,2001-01-31,0.6666666666666666
10032,2001-02-28,-0.3333333333333333
10032,2001-03-31,0.0
10032,2001-04-30,0.0
10032,2001-05-31,0.0
10032,2001-06-30,0.0
10032,2001-07-31,0.6666666666666666
10032,2001-08-31,0.3333333333333333
10032,2001-09-30,0.3333333333333333
10032,2001-10-31,0.3333333333333333
10032,2001-11-30,0.6666666666666666
10032,2001-12-31,-0.3333333333333333
10032,2002-01-31,0.0
10032,2002-02-28,-0.6666666666666666
10032,2002-03-31,0.0
10032,2002-04-30,0.0
10032,2002-05-31,0.0
10032,2002-06-30,-0.3333333333333333
10032,2002-07-31,-0.3333333333333333
10032,2002-08-31,0.0
10032,2002-09-30,-0.3333333333333333
10032,2002-10-31,0.0
10032,2002-11-30,0.0
10032,2002-12-31,-0.6666666666666666
10032,2003-01-31,-0.6666666666666666
10032,2003-02-28,-0.6666666666666666
10032,2003-03-31,-0.6666666666666666
10032,2003-04-30,0.3333333333333333
10032,2003-05-31,0.3333333333333333
10032,2003-06-30,0.0
10032,2003-07-31,0.0
10032,2003-08-31,0.0
10032,2003-09-30,0.0
10032,2003-10-31,-0.6666666666666666
10032,2003-11-30,0.0
10032,2003-12-31,0.0
10032,2004-01-31,-0.3333333333333333
10032,2004-02-29,-0.3333333333333333
10032,2004-03-31,0.0
10032,2004-04-30,-0.6666666666666666
10032,2004-05-31,-0.6666666666666666
10032,2004-06-30,-0.6666666666666666
10032,2004-08-31,-0.6666666666666666
10032,2005-05-31,-0.6666666666666666
10032,2005-06-30,-0.3333333333333333
10032,2005-07-31,0.0
10032,2005-08-31,0.0
10032,2005-09-30,0.3333333333333333
10032,2005-10-31,-0.3333333333333333
10032,2005-11-30,0.3333333333333333
10032,2005-12-31,-0.3333333333333333
10032,2006-01-31,0.3333333333333333
10032,2006-02-28,0.3333333333333333
10032,2006-03-31,0.3333333333333333
10032,2006-04-30,0.3333333333333333
10032,2006-05-31,0.0
10032,2006-06-30,0.3333333333333333
10032,2006-07-31,-0.6666666666666666
10032,2006-08-31,-0.6666666666666666
10032,2006-09-30,-0.6666666666666666
10032,2006-10-31,-0.6666666666666666
10032,2006-11-30,-0.6666666666666666
10032,2006-12-31,-0.6666666666666666
10032,2007-01-31,-0.6666666666666666
10032,2007-02-28,-0.6666666666666666
10032,2007-03-31,-0.6666666666666666
10032,2007-04-30,-0.6666666666666666
10032,2007-05-31,-0.3333333333333333
10032,2007-06-30,0.0
10032,2007-07-31,0.3333333333333333
10032,2007-08-31,0.0
10032,2007-09-30,0.0
10032,2007-10-31,0.0
10032,2007-11-30,0.6666666666666666
10032,2007-12-31,0.6666666666666666
10032,2008-01-31,-0.3333333333333333
10032,2008-02-29,0.0
10032,2008-03-31,-0.3333333333333333
10032,2008-04-30,-0.6666666666666666
10032,2008-05-31,0.6666666666666666
10032,2008-06-30,0.6666666666666666
10032,2008-07-31,-0.6666666666666666
10032,2008-08-31,-0.6666666666666666
10032,2008-09-30,0.0
10032,2008-10-31,-0.3333333333333333
10032,2008-11-30,-0.3333333333333333
10032,2008-12-31,-0.3333333333333333
10032,2009-01-31,-0.3333333333333333
10032,2009-02-28,-0.3333333333333333
10032,2009-03-31,-0.6666666666666666
10032,2009-04-30,-0.6666666666666666
10032,2009-05-31,-0.6666666666666666
10032,2009-06-30,-0.3333333333333333
10032,2009-07-31,-0.3333333333333333
10032,2009-08-31,-0.3333333333333333
10032,2009-09-30,0.0
10032,2009-10-31,-0.3333333333333333
10032,2009-11-30,-0.3333333333333333
10032,2009-12-31,-0.6666666666666666
10032,2010-01-31,-0.6666666666666666
10032,2010-02-28,-0.6666666666666666
10032,2010-03-31,-0.3333333333333333
10032,2010-04-30,-0.3333333333333333
10032,2010-05-31,0.6666666666666666
10032,2010-06-30,-0.6666666666666666
10032,2010-07-31,0.3333333333333333
10032,2010-08-31,-0.6666666666666666
10032,2010-09-30,0.3333333333333333
10032,2010-10-31,-0.6666666666666666
10032,2010-11-30,-0.6666666666666666
10032,2010-12-31,-0.3333333333333333
10032,2011-01-31,-0.6666666666666666
10032,2011-02-28,-0.6666666666666666
10032,2011-03-31,0.0
10032,2011-04-30,-0.3333333333333333
10032,2011-05-31,0.3333333333333333
10032,2011-06-30,-0.6666666666666666
10032,2011-07-31,-0.6666666666666666
10032,2011-08-31,-0.6666666666666666
10032,2011-09-30,-0.6666666666666666
10032,2011-10-31,-0.6666666666666666
10032,2011-11-30,-0.6666666666666666
10032,2011-12-31,-0.6666666666666666
10032,2012-01-31,-0.3333333333333333
10032,2012-02-29,-0.6666666666666666
10032,2012-03-31,0.0
10032,2012-04-30,-0.3333333333333333
10032,2012-05-31,-0.6666666666666666
10032,2012-06-30,-0.6666666666666666
10032,2012-07-31,-0.6666666666666666
10032,2012-08-31,-0.6666666666666666
10032,2012-09-30,-0.6666666666666666
10032,2012-10-31,-0.6666666666666666
10032,2012-11-30,-0.6666666666666666
10032,2012-12-31,0.0
10032,2013-01-31,-0.6666666666666666
10032,2013-02-28,-0.6666666666666666
10032,2013-03-31,-0.6666666666666666
10032,2013-04-30,-0.6666666666666666
10032,2013-05-31,-0.3333333333333333
10032,2013-06-30,-0.3333333333333333
10032,2013-07-31,0.0
10032,2013-08-31,-0.3333333333333333
10032,2013-09-30,0.0
10032,2013-10-31,-0.6666666666666666
10032,2013-11-30,-0.6666666666666666
10032,2013-12-31,-0.6666666666666666
10032,2014-01-31,-0.6666666666666666
10032,2014-02-28,-0.6666666666666666
10032,2014-03-31,-0.6666666666666666
10032,2014-04-30,-0.6666666666666666
10032,2014-05-31,-0.3333333333333333
10032,2014-06-30,-0.3333333333333333
10032,2014-07-31,-0.6666666666666666
10032,2014-08-31,-0.6666666666666666
10032,2014-09-30,-0.3333333333333333
10032,2014-10-31,0.0
10032,2014-11-30,-0.3333333333333333
10032,2014-12-31,-0.3333333333333333
10032,2015-01-31,-0.3333333333333333
10032,2015-02-28,-0.6666666666666666
10032,2015-03-31,-0.3333333333333333
10032,2015-04-30,-0.6666666666666666
10032,2015-05-31,-0.6666666666666666
10032,2015-06-30,-0.6666666666666666
10032,2015-07-31,-0.6666666666666666
10032,2015-08-31,-0.6666666666666666
10032,2015-09-30,-0.3333333333333333
10032,2015-10-31,-0.6666666666666666
10032,2015-11-30,-0.3333333333333333
10032,2015-12-31,-0.6666666666666666
10032,2016-01-31,-0.6666666666666666
10032,2016-02-29,0.0
10032,2016-03-31,0.0
10032,2016-04-30,0.0
10032,2016-05-31,0.6666666666666666
10032,2016-06-30,0.6666666666666666
10032,2016-07-31,0.6666666666666666
10032,2016-08-31,0.3333333333333333
10032,2016-09-30,0.6666666666666666
10032,2016-10-31,0.0
10032,2016-11-30,0.6666666666666666
10032,2016-12-31,0.3333333333333333
10032,2017-01-31,-0.6666666666666666
10032,2017-02-28,-0.6666666666666666
10032,2017-03-31,0.0
10032,2017-04-30,-0.6666666666666666
10032,2017-05-31,-0.3333333333333333
10032,2017-06-30,0.3333333333333333
10032,2017-07-31,-0.6666666666666666
10032,2017-08-31,-0.6666666666666666
10032,2017-09-30,-0.6666666666666666
10032,2017-10-31,-0.6666666666666666
10032,2017-11-30,-0.6666666666666666
10032,2017-12-31,-0.6666666666666666
10032,2018-01-31,-0.3333333333333333
10032,2018-02-28,0.0
10032,2018-03-31,0.6666666666666666
10032,2018-04-30,-0.6666666666666666
10032,2018-05-31,-0.6666666666666666
10032,2018-06-30,0.0
10032,2018-07-31,0.3333333333333333
10032,2018-08-31,0.3333333333333333
